frame,num_objects,detector_latency_ms,reid_latency_ms
0,0,156.27289,0.00644
1,1,61.96117,36.5181
2,1,66.56146,27.82965
3,1,57.9412,24.80865
4,3,60.44173,33.93435
5,3,59.3636,34.14345
6,2,58.50101,32.07779
7,4,55.80807,34.44505
8,3,82.53789,34.39093
9,4,71.75231,35.60495
10,3,75.61159,37.84776
11,4,77.72756,36.69405
12,4,73.89688,34.38711
13,3,75.32024,34.35564
14,3,71.95663,35.44259
15,4,70.61791,36.46803
16,4,62.86883,35.68125
17,4,63.86495,35.47907
18,5,61.74898,35.96663
19,5,65.20486,35.77065
20,5,64.31818,36.57317
21,4,63.80391,35.6493
22,4,64.35037,34.96909
23,3,65.40489,33.67186
24,3,64.59904,34.21021
25,2,62.50501,33.72312
26,2,61.03778,32.57799
27,3,58.05182,33.96559
28,3,65.74869,33.83374
29,4,67.83009,34.94024
30,3,64.78357,34.2288
31,3,68.14098,33.78677
32,4,63.31587,35.69651
33,3,63.56072,34.37448
34,3,66.10608,34.39474
35,3,67.61265,34.09195
36,4,63.54141,35.90775
37,4,66.93172,35.02393
38,4,61.9638,35.92849
39,4,67.88087,35.74085
40,4,66.04958,35.48574
41,2,64.54206,33.96344
42,2,59.2227,33.34975
43,4,61.60188,36.79872
44,4,64.13388,35.71463
45,4,64.80622,35.74371
46,3,64.43882,34.3945
47,3,65.91725,34.35659
48,4,66.29729,35.72512
49,3,64.57186,34.46937
50,3,62.74295,36.00454
51,3,65.47928,34.8537
52,3,65.52553,35.30598
53,3,64.39662,34.98602
54,3,64.38971,34.59668
55,3,68.02607,34.2865
56,3,66.73479,35.30097
57,4,65.93609,38.70702
58,4,65.25803,35.57897
59,3,64.05044,35.41374
60,3,67.18111,34.91664
61,4,64.31818,39.65807
62,3,64.66246,35.06589
63,3,65.3069,35.11858
64,3,62.79206,35.98022
65,3,68.01105,38.09667
66,2,62.84475,33.94723
67,4,58.52032,35.55894
68,4,62.61659,36.05652
69,4,65.87672,35.93206
70,4,65.8474,35.76589
71,4,64.88156,36.68833
72,3,76.61176,37.92977
73,4,57.92022,36.07488
74,2,64.45098,33.06484
75,3,60.54497,34.48153
76,3,59.71837,34.21521
77,3,62.02674,34.72352
78,4,62.2797,35.74848
79,5,60.91523,36.9482
80,5,60.67657,36.96132
81,5,57.72066,36.66162
82,5,70.65368,39.89887
83,5,65.43636,39.64734
84,5,66.92743,39.06751
85,4,59.82995,36.52024
86,4,60.80723,36.58986
87,4,61.8844,36.58938
88,4,59.58605,36.3977
89,5,61.42426,37.73069
90,5,75.58179,37.90617
91,4,80.5006,39.70623
92,4,77.30484,39.92128
93,4,76.70665,39.7613
94,4,76.49112,39.81328
95,4,76.828,42.19389
96,4,66.30731,36.29327
97,4,77.70467,36.88884
98,4,75.72079,36.13043
99,4,67.14725,35.77495
100,3,67.1587,34.14464
101,3,66.01048,34.96099
102,5,67.04402,37.17017
103,5,77.58117,38.84721
104,4,75.94395,36.81016
105,6,73.71163,39.15238
106,6,80.95622,43.11037
107,5,81.52366,40.79199
108,6,60.22763,37.97555
109,5,66.70499,36.77559
110,4,76.70021,36.94153
111,5,60.60815,36.95416
112,4,61.56421,36.01289
113,6,58.24375,38.39064
114,5,73.24171,36.21769
115,5,58.49767,36.16381
116,4,76.14279,38.20801
117,5,74.49746,36.72767
118,6,76.00307,42.40131
119,5,66.47468,36.34572
120,5,67.88421,36.93509
121,5,63.5283,36.25488
122,6,59.26871,37.1263
123,4,91.99119,39.93917
124,4,60.76789,36.07678
125,4,59.43465,36.16285
126,4,62.45089,36.26013
127,4,65.31858,36.10325
128,5,77.71277,37.70494
129,5,79.40602,37.62674
130,4,78.22728,35.47859
131,3,75.80519,38.05423
132,4,77.36206,39.57534
133,3,75.9685,36.99136
134,3,57.07335,34.20115
135,4,58.74944,35.95233
136,3,59.39531,34.0085
137,3,74.47195,33.89263
138,3,64.09836,34.06429
139,3,62.77919,35.20393
140,3,63.71975,35.13098
141,4,59.96823,36.09681
142,3,59.41796,35.79211
143,2,64.98551,33.5772
144,3,61.81693,34.55949
145,2,64.70704,32.87888
146,3,58.30932,34.3008
147,4,63.56812,35.3241
148,2,75.36197,36.48186
149,3,72.21103,35.92181
150,2,73.0896,33.72264
151,3,60.70423,35.29549
152,3,68.8684,34.20591
153,2,64.03327,33.32329
154,2,60.14872,34.39069
155,2,58.88319,34.87635
156,1,60.53972,26.00455
157,3,62.57558,35.27522
158,4,67.66391,35.51435
159,3,63.44223,34.47509
160,3,62.74295,34.6899
161,3,65.66,34.23643
162,3,66.44249,34.5006
163,3,64.00776,34.24692
164,4,62.7141,35.65025
165,3,65.51576,34.48558
166,4,68.70437,35.22849
167,4,66.11133,37.26125
168,3,67.76786,33.95009
169,3,67.7979,34.20019
170,2,59.99899,33.19454
171,2,57.81984,33.20003
172,2,59.09181,33.62584
173,3,60.0698,34.07621
174,2,60.87422,32.79138
175,3,58.2087,34.28555
176,3,60.82058,34.29794
177,4,63.61842,35.62045
178,3,75.57106,37.49418
179,4,64.7912,34.95359
180,4,57.29866,36.13663
181,3,62.80684,33.94961
182,2,61.59067,33.54883
183,2,60.76956,33.07724
184,2,60.148,32.7034
185,2,58.01558,32.76563
186,3,55.62019,33.99897
187,3,64.40783,37.57977
188,3,62.99639,34.38067
189,3,62.29901,33.74505
190,3,59.14688,34.60526
191,4,61.44881,42.72342
192,4,58.52365,35.78115
193,4,58.47335,35.25901
194,3,59.07631,34.58977
195,3,75.36173,37.82487
196,3,67.93952,33.92029
197,3,59.55315,33.7491
198,3,56.57673,33.8583
199,3,62.44755,34.53207
200,2,56.7975,33.51283
201,2,60.07314,33.62656
202,2,56.53024,33.47898
203,1,71.96331,26.47424
204,1,70.9579,28.4934
205,1,63.61985,25.08783
206,2,74.33391,33.62966
207,2,57.76191,34.37972
208,2,57.4789,33.60748
209,1,58.96783,25.00844
210,1,60.10866,24.93668
211,1,63.25841,24.47963
212,2,57.62124,32.47833
213,1,59.47876,28.02134
214,1,64.56208,24.51611
215,1,75.36626,25.97904
216,1,68.3651,27.81177
217,1,59.04293,24.59311
218,1,63.39884,24.58024
219,1,57.41358,24.63174
220,1,74.37754,25.91014
221,1,70.28151,29.30713
222,1,56.37717,26.53432
223,1,56.32615,24.79696
224,1,53.91312,24.86634
225,1,53.5996,24.47009
226,1,58.24113,24.61362
227,1,54.36778,24.48463
228,1,55.71508,24.72782
229,1,60.35495,24.52421
230,1,59.9494,24.55258
231,1,74.17178,25.35295
232,1,58.27665,27.06051
233,1,59.65948,24.4298
234,1,54.57616,24.52731
235,1,62.42609,24.64461
236,1,54.50273,28.4524
237,1,71.50769,24.62721
238,1,58.6524,24.49179
239,1,74.35513,27.51827
240,1,63.43532,24.54758
241,1,62.84189,24.72305
242,1,69.67783,24.74737
243,1,70.88089,24.61028
244,1,71.07401,24.73617
245,1,70.16325,24.80078
246,2,71.60568,33.32949
247,2,58.29263,32.54771
248,2,60.80651,32.69196
249,2,61.6498,32.61733
250,2,55.97162,32.92894
251,2,61.89799,32.6786
252,2,59.273,33.1881
253,1,59.58652,25.39945
254,1,134.31716,25.07687
255,2,74.79119,36.55362
256,1,127.00748,25.87271
257,1,122.30301,27.44436
258,1,134.8958,24.66726
259,1,133.53109,24.77074
260,1,136.25979,27.57359
261,1,131.10518,24.79029
262,1,131.56223,25.91848
263,1,126.9083,27.84276
264,1,131.18601,24.58286
265,1,139.57858,24.62649
266,1,134.2411,25.89273
267,1,143.77737,27.62675
268,1,134.2423,25.17986
