frame,num_objects,detector_latency_ms,reid_latency_ms
0,1,132.58386,38.65719
1,1,42.88316,24.55378
2,1,58.34389,27.41766
3,1,58.18558,27.42815
4,1,58.29072,27.41718
5,2,58.90059,32.67169
6,2,75.11115,32.55367
7,2,52.27089,34.50871
8,2,48.66338,34.58309
9,1,51.92304,26.70646
10,1,43.25175,30.13086
11,2,43.57433,32.85503
12,3,50.29726,35.99834
13,2,51.8527,34.73997
14,3,49.05939,34.16705
15,3,48.79642,34.59334
16,2,46.46945,33.22649
17,2,47.95885,32.83477
18,2,49.12138,33.32114
19,2,43.81728,32.96423
20,1,47.14823,30.23577
21,2,43.94937,33.16593
22,1,44.24334,24.78242
23,1,45.20583,24.75238
24,1,44.12341,24.86181
25,1,49.12162,27.15302
26,1,46.82398,24.88661
27,1,46.15641,28.1117
28,1,47.34993,25.06518
29,1,47.90282,24.95313
30,1,60.1511,24.97745
31,1,55.81546,24.36352
32,1,58.11644,24.99795
33,1,45.62187,25.40326
34,1,43.50305,24.10126
35,0,50.63152,0.00882
36,0,48.03252,0.00787
37,0,43.98179,0.00763
38,0,47.29557,0.00763
39,0,43.61773,0.00739
40,1,53.23601,27.98033
41,1,46.28539,24.87493
42,0,43.1335,0.00811
43,0,58.28142,0.00763
44,0,46.96131,0.00715
45,1,47.19687,25.00105
46,1,46.24724,25.24567
47,0,47.13392,0.00787
48,1,46.68999,24.8692
49,1,44.18612,24.86491
50,0,47.32919,0.00787
51,1,47.04142,24.89448
52,1,44.60168,24.84632
53,1,46.40675,24.92571
54,1,50.27723,24.07074
55,1,44.22951,25.06542
56,2,46.18335,32.5284
57,2,51.99742,34.61409
58,2,51.09191,34.57308
59,0,51.68438,0.00858
60,0,44.3368,0.00691
61,0,55.61924,0.00763
62,0,45.63808,0.00739
63,0,45.26758,0.00739
64,0,47.29366,0.00691
65,0,47.27149,0.00739
66,0,45.2261,0.00787
67,0,48.96188,0.00763
68,0,46.79942,0.00739
69,0,49.27087,0.00787
70,0,52.70123,0.00763
71,0,47.43052,0.00763
72,0,45.7046,0.00763
73,0,45.66431,0.00739
74,1,48.05636,27.87685
75,1,45.74895,24.85394
76,2,42.69791,32.67169
77,2,47.0612,33.03051
78,2,53.20477,34.97243
79,3,52.88148,35.77447
80,3,51.78809,36.39245
81,3,49.7973,36.32307
82,3,53.36761,36.3574
83,3,53.39289,36.7322
84,3,51.04947,36.47041
85,3,50.85874,36.64494
86,3,49.90149,36.62372
87,2,50.0443,35.33387
88,2,59.72266,35.0399
89,2,59.38387,35.12239
90,2,58.81333,35.4073
91,2,58.97164,35.0461
92,2,53.96771,35.21943
93,1,52.51741,28.67651
94,0,48.6505,0.00811
95,2,46.85497,33.12778
96,2,49.7067,35.12692
97,1,51.52893,26.79729
98,2,48.57302,33.37598
99,1,49.92819,31.41856
100,1,46.80443,28.3711
101,1,47.32537,25.10381
102,1,48.87843,24.75691
103,3,45.3639,34.40404
104,2,51.15557,35.24423
105,3,60.28271,38.11884
106,1,60.30774,27.96578
107,4,58.73156,36.39817
108,3,49.53766,34.73949
109,3,48.50531,34.87563
110,3,48.42687,35.18605
111,3,45.64691,34.98507
112,3,46.28229,35.99262
113,2,46.38815,34.34181
114,3,44.35825,34.58214
115,3,45.67361,35.65598
116,2,49.89576,33.98705
117,3,47.14012,37.58001
118,2,46.79942,34.10649
119,1,45.89558,28.95284
120,1,48.12741,27.87089
121,0,47.40477,0.00954
122,2,43.53142,33.32138
123,1,46.85616,29.55914
124,0,44.54541,0.00763
125,0,49.29924,0.00763
126,0,46.38624,0.00715
127,0,45.12072,0.00763
128,1,47.38379,27.52233
129,1,47.85967,24.81031
130,1,45.1746,24.99318
131,3,47.23501,34.17754
132,2,47.69278,33.50639
133,2,45.83526,37.42075
134,2,46.16356,32.99427
135,2,45.60256,33.1111
136,2,45.02177,34.64293
137,3,45.07971,34.36708
138,2,44.74211,33.37526
139,2,45.79687,37.05645
140,2,49.23034,33.29849
141,1,49.26944,26.29995
142,1,45.05658,24.72353
143,1,48.78283,30.37953
144,1,59.15451,27.55499
145,2,59.09157,32.96423
146,2,47.56618,33.38957
147,1,48.36988,26.58224
148,1,47.84155,25.27404
149,1,48.04492,25.18296
150,1,48.01488,27.93789
151,1,44.93785,24.70469
152,0,45.71056,0.00811
153,1,49.31331,25.14195
154,1,46.69046,25.11978
155,1,43.21122,26.82948
156,0,46.43464,0.00834
157,0,46.46587,0.00739
158,1,45.64571,26.80564
159,1,46.32354,24.93715
160,1,45.68028,30.07174
161,1,45.49098,24.90592
162,1,49.35455,24.90616
163,1,45.62068,25.0566
164,1,48.17986,24.94407
165,0,44.0104,0.00763
166,1,51.30148,25.47574
167,0,45.67242,0.00763
168,1,49.9649,24.94431
169,1,45.23897,27.97246
170,1,44.6074,24.90067
171,1,49.39389,26.3443
172,1,42.91987,24.99723
173,1,47.15681,25.23899
174,1,51.36847,25.00033
175,1,43.81943,24.94693
176,1,44.38305,25.0299
177,1,47.13702,24.99557
178,1,48.81835,27.95863
179,1,43.63847,25.02775
180,1,59.36503,27.37641
181,1,58.83718,26.13187
182,1,48.84076,24.67132
183,1,44.76023,27.48179
184,1,48.27714,24.65963
185,1,46.54837,25.3427
186,1,46.29207,24.66917
187,0,45.8107,0.00811
188,0,46.20147,0.00739
189,0,43.88857,0.00739
190,0,47.01591,0.00715
191,1,48.85411,27.92859
192,0,47.90378,0.00834
193,0,49.12949,0.00858
194,0,48.85387,0.00739
195,0,48.39611,0.00763
196,0,44.53397,0.00763
197,0,46.46301,0.00787
198,0,45.47977,0.00715
199,0,48.86913,0.00811
200,0,50.17209,0.00715
201,0,49.07703,0.00715
202,0,46.71931,0.00715
203,0,45.01915,0.00811
204,0,44.97075,0.00811
205,0,46.17739,0.00787
206,0,42.9585,0.00691
207,0,42.75966,0.00763
208,0,42.79876,0.00787
209,0,47.22667,0.00763
210,0,46.03481,0.00691
211,0,58.34222,0.00787
212,0,44.60263,0.00787
213,0,48.49219,0.00811
214,0,47.35208,0.00715
215,0,45.14694,0.00811
216,0,50.70257,0.00763
217,0,50.08245,0.00763
218,0,47.33205,0.00787
219,0,44.77215,0.00787
220,0,46.95415,0.00787
221,0,59.58414,0.00882
222,0,46.31853,0.00763
223,0,48.53511,0.00811
224,0,49.04127,0.00763
225,0,48.05541,0.00787
226,0,50.09198,0.00763
227,0,43.73741,0.00739
228,0,47.47438,0.00715
229,0,42.57441,0.00739
230,0,45.92252,0.00763
231,0,51.13316,0.00834
232,0,43.80393,0.00811
233,0,44.22235,0.00834
234,0,43.65897,0.00763
235,0,48.76685,0.00763
236,0,45.54415,0.00739
237,0,46.76867,0.00739
238,0,47.74451,0.00715
239,0,50.07434,0.00906
240,0,45.89462,0.00691
241,0,45.20226,0.00739
242,0,42.69648,0.00787
243,0,44.47508,0.00787
244,0,48.57779,0.00787
245,0,49.07751,0.00715
246,0,46.23294,0.00787
247,0,45.5029,0.00763
248,0,42.95897,0.00787
249,0,44.10362,0.00763
250,0,43.28847,0.00763
251,0,44.80481,0.00763
252,0,49.84117,0.00739
253,0,49.0973,0.00763
254,0,45.9981,0.00811
255,0,49.51382,0.00739
256,0,45.02201,0.00715
257,0,48.23685,0.00811
258,0,47.51492,0.00882
259,0,45.56346,0.00763
260,0,51.36466,0.00739
261,0,47.65391,0.00739
262,0,47.21975,0.00763
263,0,50.02141,0.00811
264,0,51.1179,0.00834
265,0,48.34223,0.00763
266,0,47.51444,0.00763
267,0,47.58716,0.00763
268,0,43.70093,0.00763
269,0,47.57285,0.00787
270,0,49.08752,0.00787
271,0,52.58799,0.00739
272,0,44.65866,0.00763
273,0,49.3958,0.00858
274,0,45.60542,0.00763
275,0,48.72179,0.00739
276,0,44.69395,0.00715
277,0,57.90091,0.00763
278,0,47.27888,0.00763
279,0,50.87018,0.00811
280,0,52.18267,0.00739
281,0,46.84901,0.00739
282,0,46.9358,0.00739
283,0,50.30251,0.00739
284,0,46.07463,0.00906
285,0,45.77827,0.00763
286,0,46.20695,0.00787
287,0,49.12543,0.00834
288,0,49.68095,0.00739
289,0,49.00122,0.00763
290,0,50.4899,0.00763
291,0,43.71643,0.00763
292,0,49.11804,0.00691
293,0,51.38278,0.00763
294,0,47.03641,0.00739
295,0,48.42162,0.00858
296,0,44.91591,0.00763
297,0,59.58629,0.0093
298,0,64.42881,0.00811
299,0,43.71214,0.00787
300,0,43.19048,0.00763
301,0,45.89725,0.00739
302,0,49.24655,0.00739
303,0,44.07454,0.00834
304,0,44.40141,0.00715
305,0,47.44983,0.00763
306,0,46.25821,0.00763
307,0,44.03591,0.00739
308,0,43.74218,0.00739
309,0,45.86005,0.00739
310,0,53.69735,0.00763
311,0,55.92847,0.00763
312,0,55.85122,0.00763
313,0,55.55248,0.00787
314,1,46.74625,25.41399
315,1,47.31059,25.2471
316,0,50.4458,0.00834
317,1,47.82963,26.69477
318,1,56.26106,26.19338
319,1,56.54764,26.17455
320,1,56.14614,26.3648
321,0,56.09488,0.00834
322,0,56.55456,0.00739
323,0,56.89621,0.00715
324,0,50.0176,0.00763
325,0,45.61329,0.00763
326,1,49.94369,24.89781
327,1,49.35312,24.77527
328,1,59.93009,25.9347
329,0,49.63684,0.00787
330,0,50.57359,0.00715
331,1,49.90792,25.52533
332,0,46.43631,0.00858
333,0,62.25443,0.00596
334,1,45.72535,24.73474
335,0,47.04285,0.00811
336,0,47.79315,0.00739
337,1,47.47391,26.17359
338,1,46.84711,24.75595
339,0,47.36853,0.00811
340,0,47.77265,0.00691
341,1,48.77853,24.83797
342,1,43.55812,25.18773
343,2,45.99118,33.18334
344,2,48.41208,32.65977
345,1,45.8746,24.73497
346,1,51.95165,25.15292
347,1,45.98069,25.2285
348,0,48.34294,0.00811
349,0,48.8286,0.00763
350,0,43.64109,0.00787
351,0,43.51473,0.00763
352,0,43.24818,0.00763
353,0,44.49224,0.00739
354,0,46.1874,0.00739
355,0,47.12796,0.00763
356,0,44.50846,0.00739
357,0,43.45727,0.00787
358,0,47.84179,0.00739
359,2,46.06652,33.32853
360,2,47.17708,33.0224
361,2,48.61403,33.73504
362,1,47.76669,24.79053
363,1,51.40495,25.208
364,1,45.45116,28.61667
365,2,49.54314,33.23603
366,2,46.44847,33.35214
367,1,51.84746,25.18559
368,2,46.68713,35.78043
369,1,47.25313,25.36726
370,1,47.56927,28.9042
371,2,45.21704,34.21831
372,1,47.92023,24.98984
373,2,44.5714,33.73027
374,2,49.47543,33.92839
375,1,47.09864,26.52764
376,1,49.49307,25.002
377,0,47.74046,0.00787
378,2,47.79363,33.52118
379,1,46.06009,24.89471
380,2,47.22714,33.1192
381,2,46.42153,33.78272
382,1,46.96727,25.73609
383,2,45.06826,34.06477
384,2,46.61489,33.36096
385,1,47.82462,25.31075
386,3,45.76468,36.30066
387,3,46.23008,36.14926
388,2,46.11182,33.93793
389,2,44.93189,33.38099
390,2,50.46844,33.28156
391,2,47.58501,34.24168
392,2,49.50809,33.70118
393,2,48.11001,33.65993
394,2,49.28231,33.67209
395,2,46.89407,33.33974
396,1,48.58971,25.34437
397,1,49.95966,24.6079
398,2,45.16482,33.73623
399,1,50.73571,25.27142
400,0,45.40396,0.00763
401,1,48.44308,25.1298
402,0,48.22969,0.00763
403,1,47.99199,24.81604
404,0,48.58685,0.00811
405,2,45.34197,33.59056
406,2,48.86627,33.15234
407,2,51.46956,33.0627
408,1,44.9152,25.27547
409,1,45.71605,24.97172
410,1,44.0352,24.78123
411,2,47.07098,32.89127
412,1,46.80538,28.31769
413,1,49.75867,25.10285
414,2,47.019,34.8146
415,1,48.77305,25.24018
416,0,47.58978,0.00787
417,2,43.84398,33.00977
418,2,48.87199,34.01256
419,1,48.66004,24.9536
420,1,47.87946,24.93858
421,0,47.22714,0.00763
422,1,47.544,25.02918
423,1,50.40932,24.73831
424,0,43.82491,0.00763
425,1,44.91472,24.84465
426,1,45.72535,25.27356
427,1,49.25323,25.00772
428,1,48.29454,24.94526
429,1,48.20776,28.91588
430,1,48.51222,29.387
431,0,48.6691,0.00834
432,0,45.73154,0.00787
433,0,58.01606,0.00763
434,1,50.39191,24.78027
435,0,47.81866,0.00739
436,0,45.12835,0.00787
437,0,44.37304,0.00763
438,0,47.75953,0.00715
439,0,47.39404,0.00763
440,0,47.66178,0.00715
441,0,47.33634,0.00763
442,0,47.36304,0.00811
443,0,47.64557,0.00739
444,0,44.379,0.00763
445,0,46.89503,0.00763
446,0,43.79416,0.00787
447,0,43.43438,0.00811
448,1,44.21115,24.83678
449,0,48.62666,0.00787
450,1,48.85817,24.86801
451,2,45.77017,33.35953
452,1,48.56706,29.0885
453,1,61.59639,24.88852
454,1,47.3423,24.63317
455,1,47.13678,24.72949
456,1,47.90592,24.71781
457,1,46.05985,24.61886
458,1,47.70184,24.72067
459,0,50.38786,0.00787
460,0,46.2265,0.00763
461,0,48.69556,0.00834
462,1,49.34525,24.78027
463,0,45.95971,0.00787
464,1,45.85958,24.73521
465,0,46.24391,0.00763
466,0,48.30933,0.00739
467,0,51.04542,0.00858
468,0,46.71955,0.00739
469,1,46.6187,24.77288
470,0,45.94183,0.00787
471,3,50.26293,35.57372
472,1,47.72449,24.84989
473,0,46.78988,0.00834
474,1,46.86737,24.94597
475,1,44.66939,26.0787
476,1,44.82412,29.53863
477,1,44.5261,24.66083
478,0,49.34835,0.00763
479,1,46.20409,24.67179
480,1,46.42987,24.88875
481,1,46.0279,24.63317
482,1,47.79816,24.58978
483,0,49.59178,0.00763
484,0,47.49727,0.00787
485,1,44.48009,24.7817
486,1,48.4035,24.02616
487,0,46.86356,0.00811
488,0,47.90115,0.00739
489,2,49.8848,32.80234
490,1,47.90902,26.2568
491,1,48.24615,24.79553
492,1,49.546,24.91474
493,2,50.49896,33.48804
494,2,50.99821,33.4053
495,2,50.15588,36.33118
496,1,50.02117,29.22821
497,2,46.2296,32.56226
498,1,51.90921,25.54202
499,1,49.93606,24.85752
500,1,49.94845,27.21691
501,1,47.65558,26.2754
502,0,51.79286,0.00834
503,1,47.05715,24.98126
504,1,46.71073,24.85776
505,1,47.12296,25.78831
506,1,45.91751,24.97864
507,1,44.76094,24.61529
508,1,47.20592,24.71685
509,0,50.6413,0.0093
510,0,50.56429,0.00906
511,1,60.48393,28.72562
512,0,53.12347,0.00906
513,1,46.80538,28.2917
514,1,46.11707,24.74594
515,1,50.50111,24.71733
516,1,43.49375,24.65916
517,0,44.80815,0.00787
518,0,48.16079,0.00691
519,0,48.68031,0.00763
520,0,53.94864,0.00739
521,0,61.05804,0.00882
522,0,58.77018,0.00739
523,0,48.39635,0.00739
524,0,47.56546,0.00739
525,0,49.32809,0.00739
526,0,48.99192,0.00763
527,0,47.64891,0.00739
528,0,46.03815,0.00763
529,0,49.97373,0.00811
530,0,53.04766,0.00715
531,0,46.17715,0.00715
532,0,44.13414,0.00739
533,0,48.64931,0.00739
534,0,47.30368,0.00763
535,0,44.79671,0.00763
536,0,46.23699,0.00811
537,0,51.56398,0.00763
538,0,46.97371,0.00739
539,0,46.13948,0.00834
540,0,46.50569,0.00763
541,0,47.32394,0.00763
542,0,48.1534,0.00715
543,0,45.81594,0.00739
544,0,44.73352,0.00715
545,0,49.26109,0.00739
546,1,46.87214,30.02262
547,1,45.21394,24.82486
548,1,50.3056,24.80459
549,0,51.11361,0.00906
550,0,49.45707,0.00763
551,1,45.28594,29.28185
552,0,44.94643,0.00811
553,1,45.63069,24.68681
554,1,46.12851,24.69683
555,1,47.52231,24.82533
556,0,44.45815,0.00834
557,0,49.08156,0.00691
558,0,47.16873,0.00787
559,1,47.18518,27.95649
560,1,43.11609,24.62697
561,1,45.08996,24.61123
562,0,48.10429,0.00787
563,1,49.20936,28.1496
564,0,45.84789,0.00715
565,0,45.9702,0.00763
566,0,47.04332,0.00739
567,0,47.3187,0.00763
568,0,48.83337,0.00763
569,0,45.97354,0.00739
570,0,47.46532,0.00739
571,0,44.81173,0.00811
572,0,46.30232,0.00715
573,0,46.14544,0.00763
574,0,46.93675,0.00739
575,0,50.90404,0.00787
576,0,48.84768,0.00787
577,0,60.39214,0.00906
578,0,59.52954,0.00787
579,0,59.86762,0.00858
580,0,58.96807,0.00906
581,0,59.42369,0.00858
582,0,58.17175,0.00763
583,0,48.0001,0.00739
584,0,47.8313,0.00739
585,0,60.56094,0.00811
586,0,59.80396,0.00739
587,0,48.80476,0.00858
588,0,45.75491,0.00787
589,0,51.53704,0.00882
590,0,46.14496,0.00763
591,0,49.25489,0.00739
592,0,47.92976,0.00787
593,0,44.97671,0.00715
594,0,49.10898,0.00811
595,0,44.74974,0.00691
596,0,60.45675,0.00906
597,0,60.25696,0.00811
598,0,60.21619,0.00906
599,0,60.60266,0.01574
600,0,54.32916,0.00811
601,0,50.38118,0.00787
602,0,49.73221,0.00763
603,0,48.79808,0.00691
604,0,48.78259,0.00715
605,0,49.83091,0.00739
606,0,48.42329,0.0093
607,0,48.12026,0.00787
608,0,43.90693,0.00739
609,0,48.36917,0.00787
610,1,45.61758,29.12641
611,0,48.53296,0.00787
612,0,47.48702,0.00858
613,0,51.40448,0.00763
614,0,49.97683,0.00715
615,0,52.14763,0.00787
616,0,44.71827,0.00763
617,0,47.36996,0.00715
618,0,49.52598,0.00763
619,0,49.29399,0.00811
620,1,47.95194,27.99511
621,0,48.5456,0.00763
622,0,47.46056,0.00787
623,0,44.05499,0.00763
624,1,46.47279,24.8282
625,0,45.75539,0.00763
626,0,50.3602,0.00834
627,0,50.7164,0.00763
628,1,51.58854,24.87278
629,0,44.02447,0.00763
630,0,45.86697,0.00763
631,0,49.40629,0.00906
632,1,48.57945,25.17223
633,1,52.68049,28.16772
634,1,45.11499,24.69635
635,1,47.43528,25.0566
636,1,44.29531,28.08523
637,1,49.76749,27.35662
638,1,48.12169,24.82748
639,1,51.00965,24.98221
640,1,45.14766,29.0246
641,1,45.86792,24.81604
642,1,46.54217,24.90115
643,1,47.81008,25.41184
644,1,46.95654,28.07498
645,1,48.23637,25.84672
646,1,48.13504,24.78099
647,1,48.60163,26.22271
648,1,44.52229,29.25253
649,1,51.24831,27.68803
650,1,46.88048,28.35155
651,1,47.00994,25.54893
652,1,46.16356,28.07832
653,1,46.49615,25.27118
654,1,48.73037,24.72448
655,1,49.3021,30.21097
656,1,48.02489,24.84751
657,1,59.03411,27.43793
658,1,51.85342,24.86777
659,1,44.65199,24.93787
660,1,51.45907,25.10929
661,1,56.20122,25.07615
662,1,56.50401,25.16961
663,1,57.14822,25.00439
664,1,55.65572,24.95313
665,1,56.73337,24.94478
666,1,57.26671,25.10858
667,1,56.23937,25.00057
668,1,55.61566,25.00391
669,1,56.63872,26.01099
670,1,56.37169,24.98102
671,1,57.83319,33.35595
672,1,58.13885,24.97172
673,1,45.68362,24.86014
674,1,45.38059,24.89805
675,1,48.04468,29.82974
676,1,48.25902,28.06664
