frame,num_objects,detector_latency_ms,reid_latency_ms
0,0,48.13433,0.00715
1,0,21.83127,0.00811
2,0,21.36302,0.00739
3,0,20.00427,0.00715
4,0,20.40505,0.00739
5,0,19.76061,0.00715
6,1,19.92154,36.30519
7,1,19.64188,24.69969
8,1,18.93783,24.75142
9,2,18.52846,32.52316
10,1,21.11506,24.60408
11,2,18.46838,32.4645
12,3,89.55097,37.64653
13,2,23.71955,36.1824
14,2,23.78297,36.08203
15,1,24.58286,27.38214
16,1,23.09752,25.52962
17,1,19.87147,24.64557
18,0,18.81528,0.00787
19,1,20.19358,24.7941
20,1,20.24961,24.56474
21,1,20.58792,25.82955
22,1,18.76688,25.03181
23,2,18.749,32.64308
24,2,21.02733,33.23793
25,1,20.29896,24.93501
26,1,19.05346,24.90139
27,1,19.04559,25.01154
28,0,18.52584,0.00739
29,1,20.18929,24.73545
30,1,18.76831,24.88089
31,1,18.91112,25.05898
32,1,19.53626,25.03085
33,1,18.83364,25.05016
34,2,19.46092,32.32479
35,2,19.90819,33.20765
36,2,20.44415,33.4444
37,2,20.1726,32.59063
38,2,19.39321,33.29372
39,2,20.51401,33.1676
40,2,20.15328,35.9962
41,2,20.13087,33.57458
42,1,21.0762,25.22206
43,1,20.14947,24.61696
44,1,19.557,28.06044
45,1,19.76728,24.94311
46,1,18.72373,28.20015
47,1,20.07198,24.62339
48,1,20.45751,24.74451
49,1,19.05227,28.09381
50,1,18.27216,24.77694
51,1,19.6259,24.68538
52,1,18.54038,24.67918
53,1,20.31994,24.87612
54,1,19.7053,24.75667
55,1,18.74232,24.59574
56,1,19.63115,25.04539
57,1,23.90885,24.73092
58,1,20.37883,24.31989
59,1,19.86122,24.78218
60,1,20.64037,25.36941
61,1,19.22822,24.63818
62,1,18.79668,24.62244
63,1,20.67471,24.83964
64,1,19.2821,24.66059
65,1,19.18912,24.73617
66,1,19.49668,24.55425
67,1,18.36658,24.53065
68,1,18.94879,24.69683
69,1,20.13636,27.73404
70,1,18.80121,24.61791
71,1,18.45002,24.65916
72,1,21.78288,24.64652
73,0,18.49914,0.00787
74,0,18.67008,0.00739
75,1,23.97132,27.67467
76,1,22.91298,27.2851
77,0,22.89867,0.00834
78,2,23.32044,36.03005
79,1,23.57531,27.4179
80,2,22.8951,31.92806
81,3,20.31302,33.88286
82,3,19.84262,34.30867
83,3,23.23079,35.29429
84,4,20.4215,35.88414
85,3,24.48797,37.63628
