frame,num_objects,detector_latency_ms,reid_latency_ms
0,1,85.89602,42.65976
1,1,44.03949,31.27408
2,1,37.92334,28.89609
3,2,35.20989,32.58681
4,1,107.53202,26.44563
5,2,40.85684,32.32765
6,2,34.74998,32.42755
7,2,41.81361,32.65405
8,2,34.43074,32.6829
9,2,37.94384,32.57227
10,3,36.26871,35.09831
11,3,35.10284,34.43122
12,3,34.22356,34.23595
13,4,36.79276,34.29723
14,4,37.60958,37.41598
15,3,36.6509,36.56602
16,2,34.23333,33.22411
17,2,33.50878,32.53865
18,2,34.1363,32.64165
19,3,35.16722,33.60891
20,3,44.77954,38.15174
21,3,45.09377,37.42933
22,3,44.85846,37.63628
23,3,45.04418,36.08894
24,2,35.84528,33.60462
25,2,36.09633,32.38797
26,2,35.9695,31.96144
27,3,37.09698,33.43892
28,3,39.03055,37.30392
29,3,37.7655,36.70812
30,3,40.06362,36.44252
31,3,39.11257,37.47153
32,3,38.66529,37.48631
33,4,34.47676,35.04872
34,3,40.87186,36.0806
35,4,37.8654,35.35533
36,4,38.36131,38.5344
37,3,36.62109,36.91316
38,4,35.09784,35.44974
39,4,37.74023,38.70082
40,3,38.56039,37.43434
41,3,33.90288,33.38265
42,3,34.02495,34.08337
43,3,37.01186,33.51617
44,3,35.02989,34.42574
45,3,35.31551,33.58221
46,3,35.24661,34.04546
47,3,34.62386,33.91743
48,5,33.67925,36.5057
49,3,36.05747,34.0116
50,4,34.51586,35.14338
51,4,37.28604,38.15794
52,3,37.67443,37.19544
53,3,38.26189,34.07359
54,4,35.10547,39.00123
55,3,37.3621,37.34064
56,3,36.4368,34.28173
57,2,35.46071,32.6035
58,3,36.53455,34.80005
59,3,36.71241,34.29437
60,3,37.85586,36.7403
61,3,37.4496,36.44609
62,3,34.68418,34.20353
63,3,39.76083,34.95741
64,2,38.93018,33.41293
65,2,38.76138,32.81856
66,2,34.3442,33.5393
67,2,36.97824,32.85122
68,2,38.15389,32.82785
69,4,33.94723,35.30717
70,4,38.09094,38.60021
71,4,38.69915,38.4202
72,3,44.34228,38.30791
73,3,43.88523,38.26213
74,3,43.92576,39.13426
75,3,44.56425,37.38523
76,3,44.11793,38.23638
77,3,44.90399,38.18965
78,2,44.4715,35.65764
79,4,44.13509,38.60068
80,4,44.42286,39.48998
81,5,44.29698,39.30283
82,6,83.41193,38.26785
83,6,44.72089,40.99703
84,6,44.08193,40.66277
85,5,44.09552,38.60545
86,5,45.09354,39.72769
87,5,36.25107,37.18495
88,5,35.18057,36.92842
89,5,34.68871,38.52844
90,5,34.82318,37.18734
91,4,35.31528,39.26301
92,5,33.638,36.11732
93,4,34.80697,34.54328
94,4,37.30226,36.55958
95,3,35.1119,34.49583
96,4,35.81023,35.14862
97,3,37.52446,34.37924
98,3,44.43455,37.95338
99,4,44.49272,39.36148
100,3,44.49987,37.87494
101,3,44.56973,38.27953
102,4,44.27052,38.82051
103,4,38.60879,38.17797
104,4,39.32095,38.37228
105,5,38.77974,39.23178
106,5,44.96837,39.32834
107,4,44.30079,38.49077
108,6,44.86799,40.61437
109,6,52.2306,39.61229
110,5,46.18692,39.49237
111,5,43.76864,38.13553
112,6,43.7789,41.49151
113,4,43.99467,39.71195
114,3,44.57188,37.49037
115,4,43.4227,36.10754
116,4,44.33846,36.58915
117,3,41.90016,34.01446
118,3,35.20536,34.25002
119,1,39.06298,27.3149
120,3,35.10523,34.59334
121,3,38.55014,34.58905
122,2,35.14409,33.86045
123,6,37.11915,38.13148
124,3,40.20858,37.82701
125,2,38.58256,36.26895
126,2,35.48217,32.86409
127,2,39.66141,33.34379
128,3,36.08608,34.27529
129,4,36.90481,38.06686
130,4,39.46185,38.38038
131,4,39.54387,38.27262
132,3,36.90863,37.53662
133,4,38.87463,38.49554
134,3,45.24922,38.65337
135,3,45.05658,37.98103
136,3,44.75498,38.18679
137,3,44.74378,38.19251
138,3,44.63553,38.46121
139,2,44.76714,36.07297
140,3,48.03228,37.4794
141,2,35.70247,32.85217
142,1,36.79609,26.43991
143,1,33.02932,25.15936
144,1,33.18453,25.12479
145,3,34.51371,37.9355
146,4,36.9885,35.07209
147,5,36.14044,37.20737
148,5,36.75032,37.31823
149,4,35.30407,35.6915
150,4,35.75754,35.53653
151,4,38.78188,36.68547
152,1,34.83343,26.79253
153,1,43.37978,25.2378
154,1,34.18446,25.05422
155,1,42.13977,25.32315
156,2,36.46278,32.58753
157,3,36.78012,34.75356
158,2,35.62284,33.37836
159,2,38.73277,32.8989
160,2,37.91523,32.88269
161,3,34.87706,34.18446
