frame,num_objects,detector_latency_ms,reid_latency_ms
0,1,251.59359,36.22222
1,1,98.10591,24.54948
2,1,100.00467,25.08044
3,1,102.0565,25.99835
4,1,96.23361,24.52826
5,2,104.11882,31.02064
6,3,127.64478,33.16569
7,4,131.34885,33.80656
8,2,130.00154,30.21741
9,3,106.96721,31.81148
10,3,107.71108,33.17547
11,4,100.53873,32.84669
12,4,104.33745,32.27353
13,4,104.49648,32.31978
14,4,107.8186,32.4378
15,2,99.97153,30.26223
16,3,106.76241,31.29888
17,3,104.05874,31.6906
18,3,107.22136,31.62384
19,3,104.74944,31.33821
20,3,101.64237,31.13604
21,3,110.66246,32.21726
22,3,100.52395,32.34839
23,2,104.93112,32.09853
24,2,102.52953,31.23331
25,3,107.94139,32.31955
26,2,108.42466,34.17778
27,3,102.27823,32.50813
28,3,108.60729,33.17618
29,3,102.20456,32.14312
30,3,110.78286,33.6349
31,3,128.69906,32.0549
32,2,109.10511,31.46482
33,2,104.35104,33.84113
34,2,101.9938,30.42483
35,3,95.75343,31.81696
36,3,108.08802,32.10807
37,3,102.85974,35.51054
38,3,109.45821,31.62646
39,3,99.81418,31.50249
40,3,102.18143,32.3267
41,2,103.27554,31.46839
42,2,109.10368,32.0642
43,1,101.88866,25.27881
44,3,104.89726,32.83429
45,2,103.64103,31.42786
46,2,106.22311,31.66246
47,3,110.56566,32.91273
48,4,103.50084,35.02417
49,3,107.45001,32.28855
50,3,101.26734,31.56757
51,2,103.83224,31.15487
52,2,99.92933,30.62773
53,3,105.30281,31.98338
54,2,101.89819,32.27258
55,2,100.83055,30.89976
56,1,106.54521,24.61982
57,1,96.66467,26.51858
58,1,107.87892,25.20394
59,1,98.19579,24.50228
60,1,100.5168,24.48893
61,0,99.47824,0.00763
62,0,107.41043,0.00739
63,0,106.56214,0.00787
64,1,100.18563,24.71089
65,3,104.71201,33.15282
66,1,103.63436,29.07038
67,1,98.44732,24.60122
68,2,106.08554,30.7157
69,3,103.58596,32.08756
70,4,97.04947,33.25701
71,3,107.95546,32.05252
72,2,112.39886,31.17418
73,2,103.97601,33.50902
74,1,103.22404,24.54543
75,2,97.08095,30.60246
76,3,110.28767,32.95207
77,3,105.932,36.40437
78,3,101.06492,32.60326
79,3,105.2506,34.06572
80,4,101.85051,32.84311
81,4,111.54747,32.93991
82,4,104.59423,33.3674
83,4,104.15578,33.28323
84,4,103.04332,34.58357
85,3,112.79559,32.15623
86,3,100.88301,32.11308
87,3,102.98824,31.88133
88,3,103.00207,31.97622
89,3,96.50493,31.93521
90,3,104.14863,32.11284
91,3,100.61002,31.86107
92,3,110.02684,32.28951
93,3,105.26299,32.41491
94,3,104.22301,33.46634
95,3,104.01297,32.18412
96,2,100.14963,31.03995
97,2,108.39796,30.62296
98,2,103.54924,30.80893
99,2,100.85535,30.73072
100,2,101.82238,30.93243
101,3,103.75404,32.40561
102,3,98.26517,31.94451
103,3,98.43087,32.13859
104,3,110.13746,32.53675
105,5,104.77853,35.12526
106,6,131.48594,36.76152
107,5,125.10324,34.63197
108,5,101.1672,35.1572
109,5,111.13763,35.17008
110,5,104.78663,34.27219
111,4,104.36273,33.45585
112,4,98.97709,33.22625
113,4,100.40331,33.02431
114,4,101.94111,33.12087
115,4,104.45309,33.39314
116,2,107.53059,31.78358
117,3,102.61679,32.79352
118,2,106.71067,31.61383
119,2,97.79334,31.50439
120,2,111.74178,33.02765
121,3,134.6314,32.01747
122,3,100.9376,33.4816
123,3,105.97944,32.31025
124,4,102.01311,33.1521
125,3,105.16405,36.46255
126,3,106.74691,32.07612
127,3,101.65358,32.16028
128,3,102.23651,34.02257
129,3,107.85913,32.49836
130,3,99.4854,31.96979
131,3,100.50583,32.00841
132,3,105.36623,31.8253
133,3,105.93605,32.10235
134,3,106.15134,31.81291
135,3,105.73626,32.08613
136,3,98.93441,31.9922
137,2,107.41782,30.70974
138,1,101.39656,24.50323
139,0,100.26097,0.00763
140,1,111.38678,25.82932
141,1,123.02756,24.75476
142,2,109.54237,33.70118
143,0,117.73539,0.00787
144,2,98.35982,31.23999
145,1,104.21038,24.86396
146,1,102.2203,24.36519
147,3,100.03161,35.23922
148,3,104.49076,31.92854
149,3,97.0099,34.19709
150,1,105.84307,24.56999
151,3,105.0396,33.08487
152,2,104.77924,31.47221
153,2,105.07059,31.0328
154,2,101.03703,33.11944
155,1,134.04202,27.46081
156,2,121.64736,31.88896
157,3,110.84342,32.90796
158,2,103.97077,31.8625
159,2,107.79929,30.90191
160,2,102.10657,31.09932
161,2,104.37107,35.54463
162,2,102.53692,34.08384
163,2,103.4019,31.18157
164,2,101.87459,31.17609
165,2,97.23592,30.98845
166,2,100.09694,31.1656
167,1,106.29749,24.50252
168,1,115.03386,24.70994
169,2,96.12083,31.24022
170,2,102.93913,30.54953
171,2,102.4189,31.62527
172,2,99.68972,31.5032
173,2,104.77662,30.81918
174,2,103.33776,31.47435
175,2,106.51994,31.46791
176,2,102.66161,30.76577
177,2,101.25637,31.50105
178,4,105.91578,32.82547
179,3,172.68205,32.03058
180,4,106.81343,33.9241
181,4,107.31006,33.4394
182,2,108.74462,30.78818
183,3,112.26964,31.58808
184,3,109.74097,34.91187
185,2,112.50544,30.45893
186,3,120.27359,32.66478
187,2,103.57618,30.81107
188,3,109.25555,32.45378
189,2,107.01585,30.81846
190,2,104.51794,30.44534
191,3,103.01828,36.36837
192,4,116.21022,33.31113
193,3,105.76081,32.32503
194,2,100.06928,30.54047
195,2,107.68509,31.38804
196,2,97.73159,30.82609
197,2,103.53637,31.00729
198,2,108.66642,30.71046
199,2,100.71254,30.57885
200,2,104.74157,30.91836
201,2,109.6406,30.96986
202,2,100.04663,31.84986
203,2,100.57163,30.75457
204,2,99.9763,34.65176
205,2,101.40777,34.13868
206,2,107.62167,30.86209
207,2,110.04806,31.75378
208,2,133.24833,31.79908
209,2,135.3581,31.77881
210,2,132.95078,35.67791
211,2,102.80371,31.07977
212,2,108.45137,33.33735
213,2,102.92172,30.78461
214,2,108.61659,30.75266
215,2,107.32055,31.03566
216,2,106.25696,30.81012
217,2,107.98597,30.39336
218,2,101.11952,31.31247
219,1,111.64379,24.72305
220,2,101.32957,33.92959
221,2,129.45175,31.33774
222,2,101.09377,31.00324
223,1,111.06205,25.3067
224,1,96.17829,24.7736
225,1,97.48602,25.0268
226,1,113.35731,25.34533
227,1,94.51365,24.8282
228,1,100.75188,24.6408
229,1,101.68338,25.42686
230,1,108.40082,27.29034
231,1,115.36765,24.9517
232,1,125.04745,25.94209
233,1,95.97182,24.69921
234,1,103.40738,25.00629
235,1,108.77466,25.22588
236,1,106.96864,24.70231
237,1,105.9165,24.99485
238,1,97.14603,25.36654
239,1,106.20666,24.6799
240,1,122.26486,29.1872
241,1,96.17424,24.70326
242,1,102.42009,24.69301
243,1,102.82946,24.86753
244,1,103.49154,25.37608
245,1,99.86305,24.45555
246,1,103.42836,24.50156
247,1,132.68638,24.60766
248,1,129.0307,24.65224
249,1,117.51318,24.38712
250,1,106.89211,24.73998
251,1,100.64769,24.50538
252,1,136.97076,27.35972
253,1,131.04081,24.61791
254,1,95.87145,25.11311
255,1,105.28398,25.32148
256,1,99.42961,25.86818
257,1,127.47431,25.31266
258,1,128.54362,26.31998
259,1,107.25522,24.62053
260,1,99.90382,24.58405
261,1,107.39803,25.14029
262,1,102.2346,25.05088
263,1,109.00927,29.2604
264,1,107.81264,24.51825
265,1,103.23071,25.24018
266,1,105.94344,25.03371
267,1,95.95442,24.44315
268,1,94.45453,24.76215
269,1,104.2881,27.81987
270,1,97.1303,25.20776
271,1,101.82977,24.58453
272,1,97.01252,25.03824
273,1,102.59581,24.52159
274,1,100.25477,24.56546
275,1,103.41525,24.59431
276,1,102.13971,24.64557
277,1,98.61112,24.67132
278,1,103.58667,27.94528
279,1,102.18143,24.56093
280,1,105.28278,27.20261
281,1,100.22402,24.67608
282,1,102.48065,25.94352
283,1,95.85333,28.29003
284,1,100.48604,24.6973
285,1,102.26393,25.41494
286,1,102.48661,31.77595
287,1,104.93016,28.08857
288,1,102.06223,24.54686
289,1,104.57325,24.91903
290,1,109.61366,26.12257
291,1,130.7981,25.82359
292,1,118.15572,24.62649
293,1,105.2525,25.14863
294,1,105.72028,24.68586
295,1,109.71427,24.63222
296,1,104.99525,25.17009
297,1,97.33486,24.57619
298,1,105.32975,24.69468
299,1,98.37484,24.79887
300,1,101.04203,24.51825
301,1,100.29793,24.7736
302,1,100.15368,24.76811
303,1,107.6405,25.13885
304,1,114.36296,25.38586
305,1,103.297,24.54901
306,1,96.73977,24.69492
307,1,96.68446,24.65987
308,1,108.46019,26.71289
309,1,98.53315,24.51825
310,2,97.02706,30.89333
311,3,110.09741,31.79622
312,3,103.43933,32.26471
313,4,104.41804,33.09989
314,3,104.7256,31.41475
315,3,103.40667,32.23467
316,3,105.72195,33.41699
317,3,130.55182,33.19621
318,3,131.38795,33.25486
319,3,131.51598,33.2036
320,2,130.9073,31.95715
321,2,132.31063,31.8594
322,2,131.83784,31.9829
323,1,129.56023,32.60469
324,2,202.31867,32.59587
325,1,108.30498,24.61529
326,2,175.69566,30.70712
327,2,103.97029,30.86877
328,2,99.60818,30.19118
329,1,107.22065,24.90425
330,3,206.4085,36.23748
331,2,137.85529,34.6384
332,1,134.41801,27.32205
333,1,191.77723,24.62292
334,3,195.44578,33.17976
335,3,127.90728,32.57203
336,2,104.34842,30.61986
337,3,106.12369,31.64268
338,2,100.4765,30.52378
339,3,99.02215,33.22959
340,3,128.73077,32.35388
341,3,100.82054,31.86989
342,3,101.90463,32.03225
343,3,102.35095,32.49645
344,3,100.05522,31.6391
345,1,100.31104,24.59121
346,2,195.42933,30.7312
347,2,135.53166,34.76262
348,2,134.78374,34.28769
349,1,133.9047,27.32253
350,1,179.0638,24.81651
351,1,187.20031,24.74976
352,1,198.76337,27.52304
353,1,189.70585,24.69087
354,1,173.38824,24.77074
355,1,185.66632,24.70064
356,2,196.0206,31.79026
357,2,130.80812,32.18818
358,2,130.5213,31.59356
359,3,131.55246,32.82499
360,3,130.29766,31.75759
361,3,103.46651,32.08113
362,3,103.21856,31.76284
363,3,101.91369,33.41413
364,3,103.76096,32.45163
365,3,102.91505,31.26144
366,3,102.00691,32.49931
367,3,104.35486,32.46665
368,2,100.94142,30.66969
369,4,106.91381,32.99284
370,4,186.58066,34.27815
371,4,183.76851,36.68642
372,3,183.14099,31.72898
373,3,104.75254,31.46172
374,3,103.22928,31.32963
375,3,103.83964,35.03466
376,2,133.83508,30.54619
377,3,104.4023,31.50296
378,3,135.75768,31.62265
379,4,102.97322,32.28903
380,2,188.56597,30.72047
381,3,131.26802,32.08756
382,3,105.81803,31.35872
383,3,100.08049,31.73733
384,4,101.64142,32.43995
385,3,193.37416,33.72884
386,5,123.57306,34.23834
387,4,193.89415,34.07216
388,4,193.08066,34.21378
389,3,200.75798,36.04722
390,3,139.92786,36.32355
391,3,115.95249,31.42262
392,3,102.60773,31.29172
393,3,102.86474,32.22775
394,3,102.15855,31.6143
395,3,136.11603,33.63323
396,3,112.27703,32.34577
397,3,173.31529,31.53682
398,3,185.5998,33.16116
399,3,180.52125,32.65285
400,2,189.93807,34.95789
401,2,97.11289,31.08144
402,3,195.05072,31.98576
403,2,105.47233,29.51241
404,3,178.91645,31.56734
405,4,132.82084,33.43153
406,5,178.43056,33.17881
407,4,193.47954,37.91332
408,3,197.3722,31.55589
